# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416296581;17544480;246979944;93.37;312204;43301368;207957156;76.20
axle;61;1416296641;15469064;249055360;94.15;312276;45645904;207631012;76.08
axle;60;1416296701;10925580;253598844;95.87;312404;49191700;208634596;76.45
axle;60;1416296761;11077556;253446868;95.81;312500;49381640;208276984;76.32
axle;60;1416296821;11650980;252873444;95.60;312564;49389672;207720916;76.11
axle;60;1416296881;11663484;252860940;95.59;312628;49391000;207701624;76.11
axle;60;1416296941;9309648;255214776;96.48;312720;49742508;209698364;76.84
axle;60;1416297001;10293292;254231132;96.11;312796;50951508;207506128;76.03
axle;60;1416297061;8368352;256156072;96.84;312860;52347548;208051272;76.23
axle;60;1416297121;8071028;256453396;96.95;312936;52922092;207766544;76.13
axle;60;1416297181;7618700;256905724;97.12;312992;53624012;207506240;76.03
