Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

08:54:56 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:55:56 AM     all     34.04      0.00      9.97      0.01      0.00     55.98
08:56:56 AM     all     34.25      0.00      9.81      0.00      0.00     55.93
08:57:56 AM     all     35.80      0.00      8.49      0.00      0.00     55.71
08:58:56 AM     all     37.71      0.00      6.80      0.00      0.00     55.49
08:59:56 AM     all     34.24      0.00      9.31      0.00      0.00     56.45
09:00:56 AM     all     32.41      0.00      6.58      0.00      0.00     61.00
09:01:56 AM     all     31.39      0.00      5.71      0.00      0.00     62.89
09:02:56 AM     all     33.36      0.00      4.22      0.00      0.00     62.42
09:03:56 AM     all     31.23      0.00      6.41      0.00      0.00     62.36
09:04:56 AM     all     30.95      0.00      6.89      0.00      0.00     62.15
