Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

08:26:35 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:27:35 AM     all     22.87      0.00      7.78      0.23      0.00     69.13
08:28:35 AM     all     13.32      0.00      6.07      0.01      0.00     80.61
08:29:35 AM     all      7.96      0.00      5.81      0.01      0.00     86.23
08:30:35 AM     all      6.79      0.00      2.88      0.00      0.00     90.33
08:31:35 AM     all      5.76      0.00      1.00      0.00      0.00     93.23
08:32:35 AM     all     15.24      0.00      1.37      0.00      0.00     83.39
08:33:35 AM     all     15.56      0.00      1.90      0.00      0.00     82.54
08:34:35 AM     all      5.93      0.00      0.38      0.00      0.00     93.69
08:35:35 AM     all      6.11      0.00      0.26      0.00      0.00     93.63
08:36:35 AM     all      4.74      0.00      0.99      0.00      0.00     94.26
08:37:35 AM     all      5.70      0.00      0.63      0.00      0.00     93.67
08:38:35 AM     all     13.58      0.00      2.14      0.00      0.00     84.28
08:39:35 AM     all     21.72      0.00      1.55      0.00      0.00     76.72
08:40:35 AM     all      6.71      0.00      0.48      0.00      0.00     92.81
08:41:35 AM     all      6.10      0.00      0.22      0.00      0.00     93.68
