# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416295655;25526564;238997860;90.35;311132;35659220;207633716;76.08
axle;60;1416295715;23491448;241032976;91.12;311196;37687476;207621908;76.08
axle;60;1416295775;23458832;241065592;91.13;311240;37714256;207573808;76.06
axle;60;1416295835;23497260;241027164;91.12;311312;37728788;207518740;76.04
axle;60;1416295895;23494428;241029996;91.12;311352;37730280;207518744;76.04
axle;60;1416295955;21384112;243140312;91.92;311396;37740764;209998416;76.95
axle;60;1416296015;21107568;243416856;92.02;311428;37745420;209920448;76.92
axle;60;1416296075;21107388;243417036;92.02;311460;37747148;209920448;76.92
axle;60;1416296135;21109280;243415144;92.02;311484;37748508;209920448;76.92
axle;60;1416296195;23002820;241521604;91.30;311512;37750356;208207724;76.29
axle;60;1416296255;21635300;242889124;91.82;311544;37752056;209389112;76.72
axle;60;1416296315;15668820;248855604;94.08;311584;37757412;215383528;78.92
axle;60;1416296375;19254412;245270012;92.72;311620;37762344;211738232;77.59
axle;60;1416296435;21629024;242895400;91.82;311664;37764420;209361688;76.71
axle;60;1416296495;21626652;242897772;91.82;311692;37765624;209361688;76.71
